County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
Chautauqua,738308,Store,JAC,FADEL KHALED H,PRONTO MART 2,631,NEWLAND ST,,,JAMESTOWN,NY,14701,2000,POINT (-79.241224 42.086155)
Erie,738306,Store,JAC,WNY FUELS LLC,CORNER MARKET,3405,BIG TREE RD,,,HAMBURG,NY,14075,1300,POINT (-78.860982 42.772482)
Erie,738305,Store,A,FAMILY DOLLAR STORES OF NEW YORK,FAMILY DOLLAR #32274,1756,GENESEE ST,,,BUFFALO,NY,14211,8600,POINT (-78.815984 42.911727)
Monroe,738304,Store,JAC,GOLDEN FARMS INC,GOLDEN FARMS,2280,CULVER ROAD,,,ROCHESTER,NY,14609,0,POINT (-77.561 43.188463)
Erie,738300,Store,A,FAMILY DOLLAR STORES OF NEW YORK,FAMILY DOLLAR #32272,1029,CLINTON ST,,,BUFFALO,NY,14206,0,POINT (-78.836543 42.87841)
Queens,738298,Store,JAC,HABIBI DELI 1 CORP,HABIBI DELI 1,134-01,ROCKAWAY BLVD,,,SOUTH OZONE PARK,NY,11420,1200,POINT (-73.80424 40.67462)
Kings,738297,Store,JAC,597 LIVONIA MEAT CORP,ASSOCIATED FRESH,597,LIVONIA AVENUE,,,BROOKLYN,NY,11207,8000,POINT (-73.895096 40.664598)
Erie,738296,Store,JAC,BARREL & BRINE INC,BARREL & BRINE,155,"CHANDLER STREET, SUITE #3 #",,,BUFFALO,NY,14207,3700,POINT (-78.885411 42.943332)
Rockland,738293,Store,JAC,MECCA HALAL MEAT & GROCERY INC,MECCA HALAL MEAT & GROC,286,N MAIN ST #1,,,SPRING VALLEY,NY,10977,1200,POINT (-74.041246 41.125636)
Queens,738291,Store,A,CVS ALBANY LLC,CVS/PHARMACY #2718,178-02,HILLSIDE AVE,,,JAMAICA,NY,11432,0,POINT (-73.785059 40.712315)
Oneida,738290,Store,A,PARKWAY DRUGS OF ONEIDA CO INC,PARKWAY DRUGS OF ONEIDA,485,FRENCH RD,,,UTICA,NY,13502,0,POINT (-75.281171 43.084635)
Erie,738285,Store,A,OO NAING,ROZE MYANMAR GROCERY ST,931,NIAGARA ST,,,BUFFALO,NY,14213,2900,POINT (-78.89893 42.908466)
Niagara,738280,Store,JAC,WOODCOCK BROS BREWING COMPANY INC,WOODCOCK BROS BREWING,908,NIAGARA FALLS BLVD STE 108,,,NORTH TONAWANDA,NY,14120,5500,POINT (-78.841608 43.061663)
Madison,738278,Store,JAC,FURNER J / WRATTEN G,THE COUNTRY PEDDLER,2434,POOLVILLE RD,,,HUBBARDSVILLE,NY,13355,1500,POINT (-75.46332 42.817784)
Monroe,738273,Store,JAC,ALMAR MEAT MARKETS LLC,EMPIRE MEATS 3,1337,GOODMAN ST. NORTH,,,ROCHESTER,NY,14609,1000,POINT (-77.575812 43.179451)
Suffolk,738269,Store,JAC,E H MARKET & DELI INC,EAST HAMPTON MARKET,36,RACE LANE,,,EAST HAMPTON,NY,11937,0,POINT (-72.195402 40.963226)
Kings,738264,Store,A,NPA PHARMACEUTICALS LLC,THRIFTCARE PHARMACY,1717,FOSTER AVE,,,BROOKLYN,NY,11230,2500,
